version,release_date,objects,fields,required,recommended,deprecated
2.0,2012-01,17,167,16,22,0
2.1,2012-10,17,185,16,22,0
2.2,2014-04,20,212,15,23,0
2.3,2015-01,21,229,11,22,1
2.3.1,2015-06,21,229,11,22,1
2.4,2016-03,23,273,12,28,6
2.5,2016-12,25,298,16,30,6
2.6-202204,2022-04,0,0,0,0,0
2.6-202210,2022-10,33,370,20,31,11
2.6-202211,2022-11,35,389,22,33,11
2.6-202303,2023-04,35,389,22,33,11
2.6-202309,2023-09,38,408,22,37,12
2.6-202402,2024-02,38,409,22,37,12
2.6-202409,2024-09,38,409,22,37,12
2.6-202501,2025-01,38,412,22,37,12
2.6-202505,2025-05,38,415,22,37,12
2.6-202606,2026-06,38,417,22,37,12
3.0,2022-03,10,80,15,10,0
