spec,section,object,field,type_spec,required,recommended,has_default,enum_inline,registry_ref
2.6-202606,Getting Started,,Example Type,Attribute,0,0,0,0,0
2.6-202606,Getting Started,,Examples of required attributes. Grouped at the tops of tables for convenience,id,0,0,0,0,0
2.6-202606,Getting Started,,imp,object array; required,1,0,0,0,0
2.6-202606,Getting Started,,Examples of recommended attributes. Grouped after required attributes.,site,0,0,0,0,0
2.6-202606,Getting Started,,app,object; recommended,0,1,0,0,0
2.6-202606,Getting Started,,Examples of optional attributes with and without defaults. Attributes are assumed optional unless explicitly qualified as required or recommended.,test,0,0,0,0,0
2.6-202606,Getting Started,,tmax,integer;,0,0,0,0,0
2.6-202606,Getting Started,,wseat,string array,0,0,0,0,0
2.6-202606,3.1 - Object Model,,BidRequest,3.2.1,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Source,3.2.2,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Regs,3.2.3,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Imp,3.2.4,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Metric,3.2.5,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Banner,3.2.6,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Video,3.2.7,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Audio,3.2.8,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Native,3.2.9,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Format,3.2.10,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Pmp,3.2.11,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Deal,3.2.12,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Site,3.2.13,0,0,0,0,0
2.6-202606,3.1 - Object Model,,App,3.2.14,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Publisher,3.2.15,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Content,3.2.16,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Producer,3.2.17,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Device,3.2.18,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Geo,3.2.19,0,0,0,0,0
2.6-202606,3.1 - Object Model,,User,3.2.20,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Data,3.2.21,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Segment,3.2.22,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Network,3.2.23,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Channel,3.2.24,0,0,0,0,0
2.6-202606,3.1 - Object Model,,SupplyChain,3.2.25,0,0,0,0,0
2.6-202606,3.1 - Object Model,,SupplyChainNode,3.2.26,0,0,0,0,0
2.6-202606,3.1 - Object Model,,EIDs,3.2.27,0,0,0,0,0
2.6-202606,3.1 - Object Model,,UIDs,3.2.28,0,0,0,0,0
2.6-202606,3.1 - Object Model,,UserAgent,3.2.29,0,0,0,0,0
2.6-202606,3.1 - Object Model,,BrandVersion,3.2.30,0,0,0,0,0
2.6-202606,3.1 - Object Model,,Qty,3.2.31,0,0,0,0,0
2.6-202606,3.1 - Object Model,,DOOH,3.2.32,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,id,string; required,1,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,imp,object array; required,1,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,site,object; recommended,0,1,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,app,object; recommended,0,1,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,dooh,object,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,device,object; recommended,0,1,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,user,object; recommended,0,1,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,test,integer; default 0,0,0,1,1,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,at,integer; default 2,0,0,1,1,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,tmax,integer,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,wseat,string array,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,bseat,string array,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,allimps,integer; default 0,0,0,1,1,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,cur,string array,0,0,0,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,wlang,string array,0,0,0,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,wlangb,string array,0,0,0,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,acat,string array,0,0,0,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,bcat,string array,0,0,0,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,cattax,integer; default 1,0,0,1,0,1
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,badv,string array,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,bapp,string array,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,source,object,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,regs,object,0,0,0,0,0
2.6-202606,3.2.1 - Object: BidRequest,BidRequest,ext,object,0,0,0,0,0
2.6-202606,3.2.2 - Object: Source,Source,fd,"integer, recommended",0,1,0,1,0
2.6-202606,3.2.2 - Object: Source,Source,tid,string; recommended,0,1,0,0,0
2.6-202606,3.2.2 - Object: Source,Source,pchain,string; recommended,0,1,0,0,0
2.6-202606,3.2.2 - Object: Source,Source,schain,object; recommended,0,1,0,0,0
2.6-202606,3.2.2 - Object: Source,Source,ext,object,0,0,0,0,0
2.6-202606,3.2.3 - Object: Regs,Regs,coppa,integer,0,0,0,1,0
2.6-202606,3.2.3 - Object: Regs,Regs,gdpr,integer,0,0,0,1,0
2.6-202606,3.2.3 - Object: Regs,Regs,us_privacy,string,0,0,0,0,0
2.6-202606,3.2.3 - Object: Regs,Regs,gpp,string,0,0,0,0,0
2.6-202606,3.2.3 - Object: Regs,Regs,gpp_sid,integer array,0,0,0,0,0
2.6-202606,3.2.3 - Object: Regs,Regs,ext,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,id,string; required,1,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,metric,object array,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,banner,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,video,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,audio,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,native,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,pmp,object,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,displaymanager,string,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,displaymanagerver,string,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,instl,integer; default 0,0,0,1,1,0
2.6-202606,3.2.4 - Object: Imp,Imp,tagid,string,0,0,0,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,bidfloor,float; default 0,0,0,1,0,0
2.6-202606,3.2.4 - Object: Imp,Imp,bidfloorcur,"string; default ""USD""",0,0,1,0,1
2.6-202606,3.2.4 - Object: Imp,Imp,clickbrowser,integer,0,0,0,1,0
