id,spec,stratum,location,text
3,2.6-202606,prose,Getting Started,"This does not, however, mean that including only required attributes will be satisfactory to implementers for business reasons."
12,2.6-202606,prose,Getting Started,"IMPORTANT: Since recommended attributes are not required, they may not be available from all supply sources."
13,2.6-202606,prose,2. OpenRTB Basics,"The win notice informs the bidder’s pricing algorithms of a success, whereas the billing notice indicates that spend should actually be applied."
15,2.6-202606,prose,2.1 - Transport,Win notices may be either POST or GET at the discretion of the exchange.
16,2.6-202606,prose,2.1 - Transport,"Calls returning content (e.g., any bid response, a win notice that returns markup) should return HTTP code 200."
22,2.6-202606,prose,2.3 - Data Format,The IAB Tech Lab may offer reference implementations for these or other formats.
40,2.6-202606,prose,3.1 - Object Model,"Of its direct subordinates, only `Imp` is technically required since it is fundamental to describing the impression being sold and it requires at least one of `Banner` (which may allow multiple formats), `Video`, `Audio`, and `Native` to define the type of impression (i.e., whichever one or more the publisher is willing to accept; although a bid will be for exactly one of those specified)."
44,2.6-202606,field-desc,BidRequest.imp,At least 1 `Imp` object is required.
47,2.6-202606,field-desc,BidRequest.dooh,This object should be included if the ad supported content is a Digital Out-Of-Home screen.
49,2.6-202606,field-desc,BidRequest.wseat,IDs of seats and knowledge of the buyer’s customers to which they refer must be coordinated between bidders and the exchange a priori.
52,2.6-202606,field-desc,BidRequest.bseat,"At most, only one of `wseat` and `bseat` should be used in the same request."
57,2.6-202606,field-desc,BidRequest.bcat,Only one of `acat` or `bcat` should be present.
63,2.6-202606,prose,Imp,Each `Imp` object has a required ID so that bids can reference them individually.
71,2.6-202606,field-desc,Imp.bidfloorcur,This may be different from bid currency returned by bidder if this is allowed by the exchange.
79,2.6-202606,prose,Banner,"However, any given bid for the impression must conform to one of the offered types."
81,2.6-202606,field-desc,Banner.w,Exact width in device-independent pixels (DIPS); recommended if no `Format` objects are specified.
101,2.6-202606,field-desc,Video.playbackmethod,"If none are specified, any method may be used."
110,2.6-202606,field-desc,Audio.poddur,This field is required only for the dynamic portion(s) of audio ad pods.
