endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
htlb.casalemedia.com,request,2.6-202606,304,158,52.0,337
rtb.openx.net,request,2.6-202606,260,134,51.5,254
rtb.openx.net,response,2.6-202606,257,0,0.0,0
htlb.casalemedia.com,response,2.6-202606,256,134,52.3,134
ssb-global.smartadserver.com,request,2.6-202606,202,202,100.0,373
direct.adsrvr.org,request,2.6-202606,194,188,96.9,356
prebid-server.rubiconproject.com,request,2.6-202606,167,131,78.4,301
prebid-server.rubiconproject.com,response,2.6-202606,165,0,0.0,27
btlr.sharethrough.com,request,2.6-202606,153,138,90.2,233
c2shb.pubgw.yahoo.com,request,2.6-202606,151,151,100.0,282
c2shb.pubgw.yahoo.com,response,2.6-202606,151,0,0.0,73
hbopenbid.pubmatic.com,request,2.6-202606,133,66,49.6,145
prebid.media.net,request,2.6-202606,116,116,100.0,1789
fastlane.rubiconproject.com,request,2.6-202606,89,36,40.4,51
grid-bidder.criteo.com,request,2.6-202606,88,50,56.8,125
fastlane.rubiconproject.com,response,2.6-202606,87,59,67.8,61
direct.adsrvr.org,response,2.6-202606,85,0,0.0,0
adx.adform.net,request,2.6-202606,83,83,100.0,283
ib.adnxs.com,request,2.6-202606,71,40,56.3,87
ap.lijit.com,request,2.6-202606,70,70,100.0,230
web.ads.aps.amazon-adsystem.com,request,2.6-202606,69,36,52.2,90
pbs-raptive-us.ay.delivery,request,2.6-202606,60,29,48.3,80
prebid2.production.adthrive.com,request,2.6-202606,60,29,48.3,72
prebid2.production.adthrive.com,response,2.6-202606,60,0,0.0,6
prebid.production.adthrive.com,request,2.6-202606,58,29,50.0,64
prebid.production.adthrive.com,response,2.6-202606,58,0,0.0,24
exchange.postrelease.com,request,2.6-202606,47,4,8.5,7
prebid-eu.creativecdn.com,request,2.6-202606,42,15,35.7,32
elb.the-ozone-project.com,request,2.5,39,39,100.0,141
bid.sparteo.com,request,2.6-202606,38,3,7.9,4
display.bidder.taboola.com,request,2.6-202606,34,28,82.4,104
bid.sparteo.com,response,2.6-202606,33,26,78.8,39
rt.marphezis.com,request,2.6-202606,33,26,78.8,33
elb.the-ozone-project.com,response,2.6-202606,32,0,0.0,23
ssb-global.smartadserver.com,response,2.6-202606,31,31,100.0,31
ssp.wknd.ai,request,2.5,31,31,100.0,69
yandex.com,request,2.6-202606,30,15,50.0,15
fast.nexx360.io,request,2.5,28,19,67.9,27
fast.nexx360.io,response,2.6-202606,28,26,92.9,28
api.w.inmobi.com,request,2.6-202606,27,8,29.6,21
ssc.33across.com,request,2.6-202606,25,25,100.0,27
ssc.33across.com,response,2.6-202606,25,23,92.0,23
mweb-hb.presage.io,request,2.6-202606,24,13,54.2,21
ap.lijit.com,response,2.6-202606,21,0,0.0,0
ib.adnxs.com,response,2.6-202606,20,0,0.0,42
rtb.aniview.com,request,2.6-202606,20,0,0.0,0
srv.kntxy.com,request,2.6-202606,20,20,100.0,20
ads.trustx.org,request,2.6-202606,18,0,0.0,1
pbs-raptive-us.ay.delivery,response,2.6-202606,18,0,0.0,6
pbs-us-east.ay.delivery,request,2.6-202606,17,15,88.2,15
web.ads.aps.amazon-adsystem.com,response,2.6-202606,17,0,0.0,6
hbopenbid.pubmatic.com,response,2.6-202606,16,0,0.0,0
pbs-us-east.ay.delivery,response,2.6-202606,14,0,0.0,14
rtb.nexverse.ai,request,2.5,14,14,100.0,28
a.bids.ws,request,2.5,13,13,100.0,17
a.bids.ws,response,2.6-202606,13,0,0.0,13
npid.amspbs.com,request,2.6-202606,12,0,0.0,0
openads.adsrvr.org,request,2.6-202606,12,0,0.0,0
rt.marphezis.com,response,2.6-202606,12,0,0.0,10
npid.amspbs.com,response,2.6-202606,11,1,9.1,1
ex.ingage.tech,request,2.6-202606,10,10,100.0,14
prebid-us.creativecdn.com,request,2.6-202606,10,2,20.0,8
hb.emxdgt.com,request,2.6-202606,9,9,100.0,72
openads.adsrvr.org,response,2.6-202606,9,0,0.0,0
rtb.ex.co,request,2.6-202606,9,9,100.0,58
pbs.nextmillmedia.com,request,2.6-202606,8,8,100.0,10
prebid.ad.smaato.net,request,2.6-202606,8,8,100.0,10
reachms.bfmio.com,request,2.6-202606,8,8,100.0,72
web.hb.ad.cpe.dotomi.com,request,2.6-202606,8,4,50.0,4
web.hb.ad.cpe.dotomi.com,response,2.6-202606,8,0,0.0,0
a.ads.rmbl.ws,request,2.6-202606,7,4,57.1,4
b1h.outbrain.com,request,2.6-202606,7,0,0.0,0
display.bidder.taboola.com,response,2.6-202606,7,0,0.0,21
ittr-us-e.eskimi.com,request,2.5,7,7,100.0,7
pbs.anyadx.live,request,2.6-202606,7,0,0.0,6
pbs.intergient.com,request,2.6-202606,7,0,0.0,0
pbs2418030.adspsp.com,request,2.5,7,7,100.0,7
pbs2418030.adspsp.com,response,2.6-202606,7,0,0.0,0
ps.ex.co,request,2.6-202606,7,4,57.1,34
ads.yieldmo.com,request,2.6-202606,6,6,100.0,24
goldlayer-api.prod.gbads.net,request,2.5,6,6,100.0,7
goldlayer-api.prod.gbads.net,response,2.6-202606,6,6,100.0,6
s2s.viralize.tv,request,2.5,6,6,100.0,6
ssp.disqus.com,request,2.6-202606,6,0,0.0,0
ssp.wp.pl,request,2.6-202606,6,6,100.0,12
20minuten-pbs.relevant-digital.com,request,2.5,5,5,100.0,5
app.readpeak.com,request,2.5,5,5,100.0,5
i.connectad.io,request,2.5,5,5,100.0,5
mweb-hb.presage.io,response,2.6-202606,5,0,0.0,0
pbs.intergient.com,response,2.6-202606,5,0,0.0,0
server.cpmstar.com,request,2.6-202606,5,5,100.0,10
adserver.maximus.mobkoi.com,request,2.6-202606,4,4,100.0,4
bid.contextweb.com,request,2.6-202606,4,4,100.0,8
grid-bidder.criteo.com,response,2.6-202606,4,4,100.0,9
ib.adnxs-simple.com,request,2.5,4,4,100.0,4
o.clickiocdn.com,request,2.6-202606,4,4,100.0,4
s2s.lngtd.com,request,2.6-202606,4,4,100.0,17
s2s.lngtd.com,response,2.6-202606,4,0,0.0,13
www.montgomeryadvertiser.com,request,2.6-202606,4,0,0.0,0
ad.360yield.com,request,2.6-202606,3,3,100.0,3
amspbs.com,request,2.6-202606,3,0,0.0,0
amspbs.com,response,2.6-202606,3,0,0.0,4
exchange.postrelease.com,response,2.6-202606,3,3,100.0,3
opentrade.bydata.com,request,2.6-202606,3,0,0.0,0
pbs.nextmillmedia.com,response,2.6-202606,3,0,0.0,0
prebid.dblks.net,request,2.6-202606,3,3,100.0,38
prebid.dblks.net,response,2.6-202606,3,3,100.0,3
prebid.trustedstack.com,request,2.6-202606,3,3,100.0,36
www.montgomeryadvertiser.com,response,2.6-202606,3,0,0.0,15
adx.adform.net,response,2.6-202606,2,0,0.0,2
adx2.adform.net,request,2.6-202606,2,2,100.0,8
dale.performax.cz,request,2.6-202606,2,2,100.0,4
ex.ingage.tech,response,2.6-202606,2,0,0.0,0
ice.360yield-basic.com,request,2.5,2,2,100.0,2
pb.adriver.ru,request,2.6-202606,2,2,100.0,2
