payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000001,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000002,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000003,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000004,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000005,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000009,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000010,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000011,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000012,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000013,chl.ca,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000014,chl.ca,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000015,futbol-11.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000015,futbol-11.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000016,namemc.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000016,namemc.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000017,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000018,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000018,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,site.cattax,3.2.13
p000019,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000020,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000021,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000022,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000023,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000024,psychcentral.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
p000025,purposegames.com,a.bids.ws,request,2.5,openrtb.field.undefined,error,device.sua,3.2.18
