endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
direct.adsrvr.org,request,2.6-202606,398,363,91.2,635
htlb.casalemedia.com,request,2.6-202606,384,164,42.7,347
htlb.casalemedia.com,response,2.6-202606,350,181,51.7,181
rtb.openx.net,request,2.6-202606,336,109,32.4,538
rtb.openx.net,response,2.6-202606,334,0,0.0,0
prebid-server.rubiconproject.com,request,2.6-202606,282,159,56.4,633
prebid-server.rubiconproject.com,response,2.6-202606,279,1,0.4,218
btlr.sharethrough.com,request,2.6-202606,238,178,74.8,256
prebid.media.net,request,2.6-202606,213,213,100.0,3145
direct.adsrvr.org,response,2.6-202606,206,0,0.0,0
hbopenbid.pubmatic.com,request,2.6-202606,175,78,44.6,208
c2shb.pubgw.yahoo.com,request,2.5,152,28,18.4,28
c2shb.pubgw.yahoo.com,response,2.6-202606,152,0,0.0,20
elb.the-ozone-project.com,request,2.5,146,146,100.0,487
elb.the-ozone-project.com,response,2.6-202606,127,0,0.0,235
fastlane.rubiconproject.com,request,2.6-202606,126,15,11.9,29
fastlane.rubiconproject.com,response,2.6-202606,126,63,50.0,68
ssb-global.smartadserver.com,request,2.6-202606,119,119,100.0,167
ib.adnxs.com,request,2.6-202606,112,33,29.5,67
grid-bidder.criteo.com,request,2.6-202606,98,60,61.2,184
pbs-raptive-us.ay.delivery,request,2.6-202606,85,27,31.8,78
prebid2.production.adthrive.com,request,2.6-202606,84,27,32.1,78
prebid2.production.adthrive.com,response,2.6-202606,84,0,0.0,4
prebid.production.adthrive.com,request,2.6-202606,82,26,31.7,64
prebid.production.adthrive.com,response,2.6-202606,82,0,0.0,26
exchange.postrelease.com,request,2.6-202606,72,10,13.9,10
openads.adsrvr.org,request,2.6-202606,70,8,11.4,17
openads.adsrvr.org,response,2.6-202606,63,0,0.0,0
ssp.wknd.ai,request,2.5,61,61,100.0,150
web.ads.aps.amazon-adsystem.com,request,2.6-202606,54,23,42.6,51
hbopenbid.pubmatic.com,response,2.6-202606,43,0,0.0,0
display.bidder.taboola.com,request,2.6-202606,33,18,54.5,39
ads.trustx.org,request,2.6-202606,32,4,12.5,17
hb.emxdgt.com,request,2.6-202606,32,32,100.0,256
ib.adnxs.com,response,2.6-202606,26,0,0.0,47
pbs-us-east.ay.delivery,request,2.6-202606,23,0,0.0,0
web.ads.aps.amazon-adsystem.com,response,2.6-202606,23,0,0.0,1
pbs-raptive-us.ay.delivery,response,2.6-202606,22,0,0.0,5
prebid-eu.creativecdn.com,request,2.6-202606,22,0,0.0,0
api.w.inmobi.com,request,2.6-202606,21,0,0.0,0
bid.contextweb.com,request,2.6-202606,21,21,100.0,42
zz42943mtc.pub.tappx.com,request,2.6-202606,20,20,100.0,80
ap.lijit.com,request,2.6-202606,18,18,100.0,49
reachms.bfmio.com,request,2.6-202606,18,18,100.0,162
srv.scalibur.io,request,2.6-202606,18,6,33.3,11
srv.scalibur.io,response,2.6-202606,17,17,100.0,235
fast.nexx360.io,request,2.6-202606,16,8,50.0,12
fast.nexx360.io,response,2.6-202606,16,3,18.8,38
npid.amspbs.com,request,2.6-202606,13,0,0.0,0
npid.amspbs.com,response,2.6-202606,13,1,7.7,1
ssb-global.smartadserver.com,response,2.6-202606,12,12,100.0,12
mweb-hb.presage.io,request,2.6-202606,11,10,90.9,10
ssc.33across.com,request,2.6-202606,11,11,100.0,17
ssc.33across.com,response,2.6-202606,11,9,81.8,9
a.bids.ws,request,2.6-202606,10,4,40.0,5
a.bids.ws,response,2.6-202606,10,0,0.0,8
bid.sparteo.com,request,2.6-202606,10,0,0.0,0
bid.sparteo.com,response,2.6-202606,10,8,80.0,10
pbs.intergient.com,request,2.6-202606,10,0,0.0,3
prebid-s2s.media.net,request,2.6-202606,10,10,100.0,10
prebid-s2s.media.net,response,2.6-202606,10,0,0.0,29
api.w.inmobi.com,response,2.6-202606,9,0,0.0,0
display.bidder.taboola.com,response,2.6-202606,9,0,0.0,18
rt.marphezis.com,request,2.6-202606,9,1,11.1,2
b1h.outbrain.com,request,2.6-202606,8,0,0.0,0
ssp.disqus.com,request,2.6-202606,8,0,0.0,0
ssp.wknd.ai,response,2.6-202606,8,8,100.0,18
web.hb.ad.cpe.dotomi.com,request,2.6-202606,8,2,25.0,8
grid-bidder.criteo.com,response,2.6-202606,7,5,71.4,54
rt.marphezis.com,response,2.6-202606,7,0,0.0,0
server.cpmstar.com,request,2.6-202606,7,7,100.0,19
mweb-hb.presage.io,response,2.6-202606,6,0,0.0,0
pbs-us-east.ay.delivery,response,2.6-202606,6,0,0.0,7
rtb.ex.co,request,2.6-202606,6,6,100.0,38
web.hb.ad.cpe.dotomi.com,response,2.6-202606,6,0,0.0,1
ads.yieldmo.com,request,2.6-202606,5,5,100.0,27
exchange.postrelease.com,response,2.6-202606,5,5,100.0,5
pbs.at.cbsi.com,request,2.6-202606,5,0,0.0,0
prebid.deepintent.com,request,2.6-202606,5,1,20.0,15
s2s.lngtd.com,request,2.6-202606,5,5,100.0,12
s2s.lngtd.com,response,2.6-202606,5,0,0.0,4
www.usatoday.com,request,2.6-202606,5,0,0.0,2
www.usatoday.com,response,2.6-202606,5,0,0.0,30
adx.adform.net,request,2.6-202606,4,4,100.0,20
ap.lijit.com,response,2.6-202606,4,0,0.0,0
btlr.sharethrough.com,response,2.6-202606,4,0,0.0,4
native.bidder.taboola.com,request,2.6-202606,4,0,0.0,0
pbs.at.cbsi.com,response,2.6-202606,4,0,0.0,3
pbs.nextmillmedia.com,request,2.6-202606,4,4,100.0,4
webc2s.pubgw.yahoo.com,request,2.5,4,0,0.0,0
webc2s.pubgw.yahoo.com,response,2.6-202606,4,0,0.0,0
ex.ingage.tech,request,2.6-202606,3,3,100.0,3
pbs.intergient.com,response,2.6-202606,3,0,0.0,0
prebid.ad.smaato.net,request,2.6-202606,3,3,100.0,6
ps.ex.co,request,2.6-202606,3,1,33.3,10
amspbs.com,request,2.6-202606,2,0,0.0,0
