payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000007,healthline.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000007,healthline.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000008,ladbible.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000009,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000010,unilad.com,a.bids.ws,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000011,weather.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
p000012,weather.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
p000013,wunderground.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[2].bid[0].mtype,4.2.3
p000014,weather.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[0].bid[0].mtype,4.2.3
p000014,weather.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[3].bid[0].mtype,4.2.3
p000015,weather.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[1].bid[0].mtype,4.2.3
p000016,wunderground.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[2].bid[0].mtype,4.2.3
p000016,wunderground.com,a.bids.ws,response,2.6-202606,openrtb.bid.mtype_missing,warning,seatbid[2].bid[1].mtype,4.2.3
p000021,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[1].video.placement,Section 3.2.7
p000022,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[1].video.placement,Section 3.2.7
p000023,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000024,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000026,huffpost.com,ads.trustx.org,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
