payload_id,site,endpoint,side,best_fit_version,valid,n_issues,n_errors,n_warnings
p000001,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000002,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000003,wunderground.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000004,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000005,weather.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000006,wunderground.com,a.bids.ws,request,2.6-202606,True,0,0,0
p000007,healthline.com,a.bids.ws,request,2.6-202606,False,2,2,0
p000008,ladbible.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000009,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000010,unilad.com,a.bids.ws,request,2.6-202606,False,1,1,0
p000011,weather.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000012,weather.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000013,wunderground.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000014,weather.com,a.bids.ws,response,2.6-202606,True,2,0,2
p000015,weather.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000016,wunderground.com,a.bids.ws,response,2.6-202606,True,2,0,2
p000017,healthline.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000018,ladbible.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000019,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000020,unilad.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000021,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000022,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000023,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000024,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000025,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000026,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000027,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000028,huffpost.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000029,huffpost.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000030,cbsnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000031,nbcnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000032,abcnews.go.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000033,nbcnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000034,cbsnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000035,nbcnews.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000036,vox.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000037,theverge.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000038,vox.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000039,cbssports.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000040,cbssports.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000041,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000042,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000043,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000044,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000045,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000046,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000047,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000048,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000049,boredpanda.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000050,boredpanda.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000051,boredpanda.com,ads.trustx.org,request,2.6-202606,True,1,0,1
p000052,buzzfeed.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000053,huffpost.com,ads.trustx.org,response,2.6-202606,False,2,2,0
p000054,vox.com,ads.yieldmo.com,request,2.6-202606,False,3,2,1
p000055,vox.com,ads.yieldmo.com,request,2.6-202606,False,3,2,1
p000056,goal.com,ads.yieldmo.com,request,2.6-202606,False,7,2,5
p000057,goal.com,ads.yieldmo.com,request,2.6-202606,False,7,2,5
p000058,goal.com,ads.yieldmo.com,request,2.6-202606,False,7,2,5
p000059,ladbible.com,adx.adform.net,request,2.6-202606,False,5,4,1
p000060,ladbible.com,adx.adform.net,request,2.6-202606,False,5,4,1
p000061,unilad.com,adx.adform.net,request,2.6-202606,False,5,4,1
p000062,unilad.com,adx.adform.net,request,2.6-202606,False,5,4,1
p000063,sportingnews.com,amspbs.com,request,2.6-202606,True,0,0,0
p000064,thehill.com,amspbs.com,request,2.6-202606,True,0,0,0
p000065,sportingnews.com,amspbs.com,response,2.6-202606,True,1,0,1
p000066,thehill.com,amspbs.com,response,2.6-202606,True,5,0,5
p000067,usatoday.com,ap.lijit.com,request,2.6-202606,False,3,2,1
p000068,thedailybeast.com,ap.lijit.com,request,2.6-202606,False,6,6,0
p000069,thedailybeast.com,ap.lijit.com,request,2.6-202606,False,3,3,0
p000070,sportingnews.com,ap.lijit.com,request,2.6-202606,False,1,1,0
p000071,ladbible.com,ap.lijit.com,request,2.6-202606,False,11,11,0
p000072,ladbible.com,ap.lijit.com,request,2.6-202606,False,11,11,0
p000073,ladbible.com,ap.lijit.com,request,2.6-202606,False,1,1,0
p000074,ladbible.com,ap.lijit.com,request,2.6-202606,False,1,1,0
p000075,ladbible.com,ap.lijit.com,request,2.6-202606,False,1,1,0
