endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
htlb.casalemedia.com,request,2.6-202606,298,151,50.7,305
rtb.openx.net,request,2.6-202606,268,131,48.9,261
rtb.openx.net,response,2.6-202606,268,0,0.0,0
htlb.casalemedia.com,response,2.6-202606,219,217,99.1,217
direct.adsrvr.org,request,2.6-202606,207,197,95.2,367
ssb-global.smartadserver.com,request,2.6-202606,201,201,100.0,376
prebid-server.rubiconproject.com,request,2.6-202606,177,140,79.1,330
prebid-server.rubiconproject.com,response,2.6-202606,176,0,0.0,7
btlr.sharethrough.com,request,2.6-202606,160,142,88.8,239
c2shb.pubgw.yahoo.com,request,2.6-202606,151,151,100.0,254
c2shb.pubgw.yahoo.com,response,2.6-202606,151,0,0.0,34
hbopenbid.pubmatic.com,request,2.6-202606,125,64,51.2,144
prebid.media.net,request,2.6-202606,114,114,100.0,1744
fastlane.rubiconproject.com,request,2.6-202606,94,35,37.2,55
fastlane.rubiconproject.com,response,2.6-202606,92,91,98.9,91
ap.lijit.com,request,2.6-202606,76,76,100.0,267
grid-bidder.criteo.com,request,2.6-202606,75,46,61.3,111
web.ads.aps.amazon-adsystem.com,request,2.6-202606,71,38,53.5,96
adx.adform.net,request,2.6-202606,67,67,100.0,238
ib.adnxs.com,request,2.6-202606,66,28,42.4,67
pbs-raptive-us.ay.delivery,request,2.6-202606,54,26,48.1,70
prebid.production.adthrive.com,request,2.6-202606,54,26,48.1,56
prebid.production.adthrive.com,response,2.6-202606,54,0,0.0,7
prebid2.production.adthrive.com,request,2.6-202606,54,26,48.1,64
prebid2.production.adthrive.com,response,2.6-202606,54,0,0.0,0
exchange.postrelease.com,request,2.6-202606,43,1,2.3,6
elb.the-ozone-project.com,request,2.5,37,37,100.0,134
display.bidder.taboola.com,request,2.6-202606,36,28,77.8,104
prebid-eu.creativecdn.com,request,2.6-202606,36,12,33.3,25
rt.marphezis.com,request,2.6-202606,34,28,82.4,35
bid.sparteo.com,request,2.6-202606,32,4,12.5,4
ssp.wknd.ai,request,2.6-202606,31,31,100.0,100
api.w.inmobi.com,request,2.6-202606,30,7,23.3,18
