payload_id,site,endpoint,side,best_fit_version,valid,n_issues,n_errors,n_warnings
p000001,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000002,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000003,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000004,tio.ch,20minuten-pbs.relevant-digital.com,request,2.5,False,1,1,0
p000005,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000006,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000007,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000008,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000009,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000010,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000011,zerohedge.com,a.ads.rmbl.ws,request,2.6-202606,True,0,0,0
p000012,chl.ca,a.bids.ws,request,2.5,False,1,1,0
p000013,chl.ca,a.bids.ws,request,2.5,False,1,1,0
p000014,futbol-11.com,a.bids.ws,request,2.5,False,2,2,0
p000015,namemc.com,a.bids.ws,request,2.5,False,2,2,0
p000016,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000017,purposegames.com,a.bids.ws,request,2.5,False,2,2,0
p000018,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000019,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000020,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000021,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000022,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000023,psychcentral.com,a.bids.ws,request,2.5,False,1,1,0
p000024,purposegames.com,a.bids.ws,request,2.5,False,2,2,0
p000025,chl.ca,a.bids.ws,response,2.6-202606,True,0,0,0
p000026,chl.ca,a.bids.ws,response,2.6-202606,True,0,0,0
p000027,futbol-11.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000028,namemc.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000029,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000030,purposegames.com,a.bids.ws,response,2.6-202606,True,1,0,1
p000031,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000032,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000033,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000034,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000035,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000036,psychcentral.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000037,purposegames.com,a.bids.ws,response,2.6-202606,True,0,0,0
p000038,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000039,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000040,cornucopia.se,ad.360yield.com,request,2.6-202606,False,1,1,0
p000041,barcablaugranes.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000042,barcablaugranes.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000043,barcablaugranes.com,ads.trustx.org,request,2.6-202606,False,2,1,1
p000044,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000045,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000046,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000047,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000048,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000049,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000050,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000051,eonline.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000052,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000053,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000054,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000055,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000056,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000057,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
p000058,nbcconnecticut.com,ads.trustx.org,request,2.6-202606,True,0,0,0
