endpoint,side,best_fit_version,payloads,invalid,invalid_pct,issues
direct.adsrvr.org,request,2.6-202606,397,366,92.2,648
htlb.casalemedia.com,request,2.6-202606,384,170,44.3,362
rtb.openx.net,request,2.6-202606,319,104,32.6,537
rtb.openx.net,response,2.6-202606,318,0,0.0,0
htlb.casalemedia.com,response,2.6-202606,312,311,99.7,311
prebid-server.rubiconproject.com,request,2.6-202606,305,184,60.3,682
prebid-server.rubiconproject.com,response,2.6-202606,301,0,0.0,22
btlr.sharethrough.com,request,2.6-202606,256,196,76.6,289
prebid.media.net,request,2.6-202606,187,187,100.0,2795
c2shb.pubgw.yahoo.com,request,2.5,176,33,18.8,33
c2shb.pubgw.yahoo.com,response,2.6-202606,176,0,0.0,15
hbopenbid.pubmatic.com,request,2.6-202606,167,79,47.3,199
elb.the-ozone-project.com,request,2.5,144,144,100.0,483
fastlane.rubiconproject.com,request,2.6-202606,128,10,7.8,24
fastlane.rubiconproject.com,response,2.6-202606,128,127,99.2,127
ssb-global.smartadserver.com,request,2.6-202606,119,119,100.0,181
elb.the-ozone-project.com,response,2.6-202606,118,0,0.0,109
ib.adnxs.com,request,2.6-202606,109,38,34.9,66
grid-bidder.criteo.com,request,2.6-202606,102,65,63.7,200
prebid2.production.adthrive.com,request,2.6-202606,85,31,36.5,86
prebid2.production.adthrive.com,response,2.6-202606,83,0,0.0,1
web.ads.aps.amazon-adsystem.com,request,2.6-202606,83,40,48.2,88
prebid.production.adthrive.com,request,2.6-202606,82,30,36.6,74
prebid.production.adthrive.com,response,2.6-202606,80,0,0.0,5
pbs-raptive-us.ay.delivery,request,2.6-202606,72,26,36.1,68
openads.adsrvr.org,request,2.6-202606,71,9,12.7,19
exchange.postrelease.com,request,2.6-202606,63,5,7.9,5
ssp.wknd.ai,request,2.6-202606,53,53,100.0,155
ads.trustx.org,request,2.6-202606,28,5,17.9,16
display.bidder.taboola.com,request,2.6-202606,27,13,48.1,34
hb.emxdgt.com,request,2.6-202606,27,27,100.0,216
hbopenbid.pubmatic.com,response,2.6-202606,27,0,0.0,0
prebid-eu.creativecdn.com,request,2.6-202606,25,3,12.0,3
fast.nexx360.io,request,2.6-202606,20,12,60.0,16
pbs-raptive-us.ay.delivery,response,2.6-202606,19,0,0.0,11
srv.scalibur.io,request,2.6-202606,19,7,36.8,11
zz42943mtc.pub.tappx.com,request,2.6-202606,19,19,100.0,76
pbs-us-east.ay.delivery,request,2.6-202606,18,0,0.0,0
reachms.bfmio.com,request,2.6-202606,18,18,100.0,162
srv.scalibur.io,response,2.6-202606,18,18,100.0,130
bid.contextweb.com,request,2.6-202606,17,17,100.0,34
a.bids.ws,request,2.6-202606,15,9,60.0,10
a.bids.ws,response,2.6-202606,15,0,0.0,1
mweb-hb.presage.io,request,2.6-202606,14,13,92.9,13
web.hb.ad.cpe.dotomi.com,request,2.6-202606,14,7,50.0,13
grid-bidder.criteo.com,response,2.6-202606,13,4,30.8,42
npid.amspbs.com,request,2.6-202606,13,0,0.0,0
api.w.inmobi.com,request,2.6-202606,11,0,0.0,0
pbs.intergient.com,request,2.6-202606,11,0,0.0,4
ssc.33across.com,request,2.6-202606,11,11,100.0,17
ssc.33across.com,response,2.6-202606,11,11,100.0,11
display.bidder.taboola.com,response,2.6-202606,10,0,0.0,27
prebid-server.pbstck.com,request,2.6-202606,10,10,100.0,16
rt.marphezis.com,request,2.6-202606,9,1,11.1,2
ap.lijit.com,request,2.6-202606,8,8,100.0,39
b1h.outbrain.com,request,2.6-202606,8,0,0.0,0
ssp.disqus.com,request,2.6-202606,8,0,0.0,0
prebid.deepintent.com,request,2.6-202606,6,3,50.0,25
rt.marphezis.com,response,2.6-202606,6,0,0.0,1
s2s.lngtd.com,request,2.6-202606,6,6,100.0,15
s2s.lngtd.com,response,2.6-202606,6,0,0.0,0
server.cpmstar.com,request,2.6-202606,6,6,100.0,16
web.ads.aps.amazon-adsystem.com,response,2.6-202606,6,0,0.0,3
prebid-s2s.media.net,request,2.6-202606,5,5,100.0,5
prebid-s2s.media.net,response,2.6-202606,5,0,0.0,0
adx.adform.net,request,2.6-202606,4,4,100.0,20
native.bidder.taboola.com,request,2.6-202606,4,0,0.0,0
pbs.at.cbsi.com,request,2.6-202606,4,0,0.0,0
pbs.at.cbsi.com,response,2.6-202606,4,0,0.0,0
pbs.nextmillmedia.com,request,2.6-202606,4,4,100.0,4
prebid-server.pbstck.com,response,2.6-202606,4,4,100.0,16
webc2s.pubgw.yahoo.com,request,2.5,4,0,0.0,0
webc2s.pubgw.yahoo.com,response,2.6-202606,4,0,0.0,0
www.usatoday.com,request,2.6-202606,4,0,0.0,1
www.usatoday.com,response,2.6-202606,4,0,0.0,4
ads.yieldmo.com,request,2.6-202606,3,3,100.0,21
direct.adsrvr.org,response,2.6-202606,3,0,0.0,0
ex.ingage.tech,request,2.6-202606,3,3,100.0,3
amspbs.com,request,2.6-202606,2,0,0.0,0
footballco-s2s.lngtd.com,request,2.6-202606,2,2,100.0,6
footballco-s2s.lngtd.com,response,2.6-202606,2,0,0.0,1
mweb-hb.presage.io,response,2.6-202606,2,0,0.0,0
openads.adsrvr.org,response,2.6-202606,2,0,0.0,0
pbs-us-east.ay.delivery,response,2.6-202606,2,0,0.0,0
prebid.ad.smaato.net,request,2.6-202606,2,2,100.0,4
zz42943mtc.pub.tappx.com,response,2.6-202606,2,0,0.0,2
amspbs.com,response,2.6-202606,1,0,0.0,3
bw-prod.plrsrvcs.com,request,2.6-202606,1,1,100.0,2
bw-prod.plrsrvcs.com,response,2.6-202606,1,1,100.0,3
fast.nexx360.io,response,2.6-202606,1,1,100.0,1
grid.bidswitch.net,request,2.6-202606,1,0,0.0,0
pbs2418030.adspsp.com,request,2.5,1,1,100.0,1
pbs2418030.adspsp.com,response,2.6-202606,1,0,0.0,0
ps.ex.co,request,2.6-202606,1,1,100.0,10
rtb.ex.co,request,2.6-202606,1,1,100.0,3
